team_id,season,games,offensive_plays,fumbles_lost,plays_per_fumble_lost
PHI,2012,16,1079.,22.,49.045
NYJ,2012,16,1034.,18.,57.444
BUF,2010,16,954.,18.,53.
BUF,2012,16,983.,17.,57.824
DEN,2011,16,1017.,17.,59.824
NYG,2010,16,1035.,17.,60.882
KC,2012,16,1015.,17.,59.706
NYJ,2011,16,1030.,16.,64.375
ARI,2010,16,931.,16.,58.188
TB,2011,16,966.,16.,60.375
SD,2010,16,1039.,16.,64.938
PIT,2012,16,1023.,16.,63.938
DEN,2013,16,1156.,16.,72.25
CAR,2010,16,962.,16.,60.125
DET,2012,16,1160.,16.,72.5
DET,2013,16,1102.,15.,73.467
NYG,2013,16,988.,15.,65.867
IND,2014,16,1105.,15.,73.667
WAS,2013,16,1107.,15.,73.8
PHI,2014,16,1128.,15.,75.2
IND,2011,16,951.,15.,63.4
DEN,2010,16,1018.,15.,67.867
TEN,2010,16,907.,14.,64.786
DEN,2012,16,1090.,14.,77.857
NYG,2014,16,1086.,14.,77.571
DAL,2014,16,1014.,14.,72.429
CIN,2010,16,1046.,14.,74.714
MIN,2013,16,1013.,13.,77.923
TB,2010,16,955.,13.,73.462
NO,2014,16,1095.,13.,84.231
TB,2014,16,937.,13.,72.077
PIT,2011,16,1015.,13.,78.077
MIA,2012,16,981.,13.,75.462
OAK,2014,16,994.,13.,76.462
ARI,2012,16,1018.,13.,78.308
PHI,2011,16,1036.,13.,79.692
STL,2011,16,1013.,13.,77.923
WAS,2014,16,1006.,13.,77.385
TEN,2012,16,957.,12.,79.75
MIA,2011,16,990.,12.,82.5
BUF,2013,16,1116.,12.,93.
BAL,2011,16,1036.,12.,86.333
SF,2014,16,1009.,12.,84.083
PHI,2010,16,1038.,12.,86.5
WAS,2010,16,1002.,12.,83.5
JAC,2010,16,1019.,12.,84.917
CAR,2014,16,1061.,11.,96.455
OAK,2013,16,1000.,11.,90.909
CLE,2010,16,927.,11.,84.273
PIT,2014,16,1068.,11.,97.091
WAS,2011,16,1032.,11.,93.818
MIN,2010,16,982.,11.,89.273
HOU,2011,16,1046.,11.,95.091
KC,2014,16,962.,11.,87.455
ATL,2013,16,1024.,11.,93.091
DAL,2010,16,1035.,11.,94.091
MIN,2012,16,1001.,11.,91.
STL,2014,16,957.,11.,87.
SEA,2010,16,964.,11.,87.636
MIA,2014,16,1040.,11.,94.545
SD,2012,16,988.,11.,89.818
BAL,2010,16,1018.,10.,101.8
DAL,2012,16,1049.,10.,104.9
SF,2013,16,961.,10.,96.1
CHI,2013,16,1013.,10.,101.3
KC,2013,16,1030.,10.,103.
OAK,2010,16,1040.,10.,104.
CIN,2012,16,1016.,10.,101.6
SD,2013,16,1060.,10.,106.
CHI,2010,16,936.,10.,93.6
CHI,2014,16,1005.,10.,100.5
CAR,2012,16,988.,10.,98.8
PHI,2013,16,1054.,10.,105.4
STL,2013,16,968.,10.,96.8
CIN,2013,16,1097.,10.,109.7
TEN,2014,16,919.,10.,91.9
BUF,2014,16,1020.,10.,102.
KC,2011,16,1021.,10.,102.1
SEA,2013,16,973.,10.,97.3
MIA,2010,16,1040.,10.,104.
OAK,2012,16,1032.,10.,103.2
PIT,2013,16,1023.,10.,102.3
PIT,2010,16,993.,9.,110.333
ARI,2013,16,1037.,9.,115.222
IND,2012,16,1109.,9.,123.222
SEA,2011,16,1003.,9.,111.444
HOU,2014,16,1062.,9.,118.
TEN,2013,16,1032.,9.,114.667
DET,2010,16,1064.,9.,118.222
NE,2013,16,1138.,9.,126.444
MIN,2011,16,1007.,9.,111.889
JAC,2012,16,994.,9.,110.444
ARI,2011,16,993.,9.,110.333
CHI,2011,16,978.,9.,108.667
GB,2013,16,1074.,9.,119.333
GB,2010,16,1000.,9.,111.111
DAL,2011,16,1017.,9.,113.
CIN,2014,16,1018.,9.,113.111
TB,2013,16,981.,9.,109.
NYJ,2014,16,1052.,9.,116.889
CLE,2013,16,1078.,9.,119.778
HOU,2013,16,1089.,9.,121.
NO,2010,16,1067.,9.,118.556
JAC,2014,16,988.,8.,123.5
BAL,2014,16,1021.,8.,127.625
STL,2012,16,1002.,8.,125.25
JAC,2011,16,1002.,8.,125.25
SF,2010,16,945.,8.,118.125
GB,2012,16,1042.,8.,130.25
DAL,2013,16,957.,8.,119.625
SEA,2012,16,974.,8.,121.75
DET,2014,16,1045.,8.,130.625
IND,2010,16,1089.,8.,136.125
ATL,2010,16,1097.,8.,137.125
CLE,2012,16,998.,8.,124.75
NYG,2011,16,1028.,8.,128.5
SD,2011,16,1048.,8.,131.
TEN,2011,16,984.,8.,123.
ATL,2014,16,1035.,8.,129.375
SF,2012,16,969.,8.,121.125
CHI,2012,16,999.,8.,124.875
ATL,2011,16,1073.,8.,134.125
CIN,2011,16,1015.,8.,126.875
NE,2012,16,1191.,7.,170.143
CLE,2014,16,1010.,7.,144.286
OAK,2011,16,1015.,7.,145.
DET,2011,16,1058.,7.,151.143
MIA,2013,16,1001.,7.,143.
NYJ,2013,16,1020.,7.,145.714
NYJ,2010,16,1087.,7.,155.286
NO,2013,16,1079.,7.,154.143
GB,2014,16,1001.,7.,143.
SEA,2014,16,1021.,7.,145.857
GB,2011,16,988.,6.,164.667
HOU,2010,16,1029.,6.,171.5
CAR,2011,16,999.,6.,166.5
KC,2010,16,1063.,6.,177.167
CLE,2011,16,1024.,6.,170.667
WAS,2012,16,994.,6.,165.667
TB,2012,16,1008.,6.,168.
STL,2010,16,1053.,6.,175.5
CAR,2013,16,998.,6.,166.333
JAC,2013,16,1020.,6.,170.
BAL,2013,16,1090.,6.,181.667
NYG,2012,16,968.,6.,161.333
DEN,2014,16,1067.,5.,213.4
NO,2011,16,1117.,5.,223.4
ARI,2014,16,993.,5.,198.6
SF,2011,16,993.,5.,198.6
