home_team	season	wins	losses	ties	points_for	points_against	pre_wins	pre_losses	pre_ties	pre_points_for	pre_points_against
ARI	2002	5	11	0	262	417	1	3	0	61	96
ARI	2003	4	12	0	225	452	4	0	0	87	54
ARI	2004	6	10	0	284	322	1	3	0	68	99
ARI	2005	5	11	0	311	387	3	1	0	75	74
ARI	2006	5	11	0	314	389	2	2	0	70	88
ARI	2007	8	8	0	404	399	0	4	0	77	114
ARI	2008	9	7	0	427	426	2	2	0	75	69
ARI	2009	10	6	0	375	325	0	4	0	53	100
ARI	2010	5	11	0	289	434	3	1	0	63	59
ARI	2011	8	8	0	312	348	2	2	0	101	87
ARI	2012	5	11	0	250	357	1	3	0	88	102
ATL	2002	9	6	1	402	314	4	0	0	107	70
ATL	2003	5	11	0	299	422	0	4	0	61	90
ATL	2004	11	5	0	340	337	2	2	0	64	85
ATL	2005	8	8	0	351	341	3	1	0	80	51
ATL	2006	7	9	0	292	328	2	2	0	73	87
ATL	2007	4	12	0	259	414	3	1	0	66	70
ATL	2008	11	5	0	391	325	2	2	0	53	48
ATL	2009	9	7	0	363	325	2	2	0	76	84
ATL	2010	13	3	0	414	288	2	2	0	55	57
ATL	2011	10	6	0	402	350	0	4	0	59	98
ATL	2012	13	3	0	419	299	1	3	0	73	85
BAL	2002	7	9	0	316	354	2	2	0	41	65
BAL	2003	10	6	0	391	281	1	3	0	59	84
BAL	2004	9	7	0	317	268	3	1	0	85	49
BAL	2005	6	10	0	265	299	2	2	0	64	62
BAL	2006	13	3	0	353	201	2	2	0	60	67
BAL	2007	5	11	0	275	384	1	3	0	58	42
BAL	2008	11	5	0	385	244	1	3	0	50	72
BAL	2009	9	7	0	391	261	4	0	0	84	39
BAL	2010	12	4	0	357	270	3	1	0	85	52
BAL	2011	12	4	0	378	266	3	1	0	92	64
BAL	2012	10	6	0	398	344	2	2	0	108	92
BUF	2002	8	8	0	379	397	0	4	0	58	87
BUF	2003	6	10	0	243	279	3	1	0	94	96
BUF	2004	9	7	0	395	284	1	3	0	65	72
BUF	2005	5	11	0	271	367	2	2	0	63	54
BUF	2006	7	9	0	300	311	1	3	0	81	91
BUF	2007	7	9	0	252	354	2	2	0	56	64
BUF	2008	7	9	0	336	342	2	2	0	64	59
BUF	2009	6	10	0	258	326	1	3	0	54	85
BUF	2010	4	12	0	283	425	2	2	0	109	111
BUF	2011	6	10	0	372	434	1	3	0	54	82
BUF	2012	6	10	0	344	435	0	4	0	59	119
CAR	2002	7	9	0	258	302	1	3	0	69	98
CAR	2003	11	5	0	325	304	4	0	0	81	31
CAR	2004	7	9	0	355	339	4	0	0	86	70
CAR	2005	11	5	0	391	259	2	2	0	89	78
CAR	2006	8	8	0	270	305	4	0	0	65	46
CAR	2007	7	9	0	267	347	1	3	0	44	91
CAR	2008	12	4	0	414	329	2	2	0	99	66
